subject_base,subject,sperson,subject_translation,tense_translation,tense_base,tense,object,operson,object_translation,object_base,verb_translation,verb_type,control,verb,verb_base,person,text,text_breakdown,text_label
-ES,3pltran,3,they,future,SE¸,fut,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES SE¸,SEJN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES SE¸,QENN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES SE¸,ȻENÁṈN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES SE¸,SEJN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES SE¸,QENN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES SE¸,ȻENÁṈN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES SE¸,SEJN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES SE¸,QENN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES SE¸,ȻENÁṈN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES SE¸,SEJN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES SE¸,QENN__ES SE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES SE¸,ȻENÁṈN__ES SE¸,verb_objectverb_subject
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES SE¸,W̱EĆET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES SE¸,ŚÁMET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES SE¸,QENET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES SE¸,ȽIȾET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES SE¸,KIQET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES SE¸,ȻENÁṈET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES SE¸,W̱EĆET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES SE¸,ŚÁMET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES SE¸,QENET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES SE¸,ȽIȾET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES SE¸,KIQET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES SE¸,ȻENÁṈET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES SE¸,W̱EĆET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES SE¸,ŚÁMET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES SE¸,QENET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES SE¸,ȽIȾET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES SE¸,KIQET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES SE¸,ȻENÁṈET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES SE¸,W̱EĆET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES SE¸,ŚÁMET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES SE¸,QENET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES SE¸,ȽIȾET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES SE¸,KIQET_ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES SE¸,ȻENÁṈET_ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES SE¸,W̱EĆET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES SE¸,ŚÁMET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES SE¸,QENET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES SE¸,ȽIȾET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES SE¸,KIQET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES SE¸,ȻENÁṈET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES SE¸,W̱EĆE_SES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES SE¸,ŚÁME_SES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES SE¸,QENE_SES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES SE¸,ȽIȾE_SES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES SE¸,KIQE_SES _SE¸,verb_object_tense
-ES,3pltran,3,they,future,SE¸,fut,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES SE¸,ȻENÁṈE_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES SE¸,W̱EĆET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES SE¸,ŚÁMET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES SE¸,QENET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES SE¸,ȽIȾET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES SE¸,KIQET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES SE¸,ȻENÁṈET_OL¸W̱ES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES SE¸,W̱EĆE_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES SE¸,ŚÁME_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES SE¸,QENE_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES SE¸,ȽIȾE_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES SE¸,KIQE_SES _SE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,future,SE¸,fut,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES SE¸,ȻENÁṈE_SES _SE¸,verb_object_tense
